rowkey,time,id,is_risk
24,04:41.0,98066,0
37,12:45.0,151688,0
45,15:12.0,86468,0
46,15:24.0,86468,0
48,15:58.0,82720,0
49,15:59.0,86468,0
53,17:12.0,7738,0
54,18:30.0,150401,0
57,19:28.0,38756,0
65,24:52.0,150931,0
66,25:26.0,150931,0
74,30:57.0,68343,0
102,43:34.0,39976,0
121,58:46.0,110796,0
126,01:22.0,169284,0
127,01:54.0,121419,0
141,10:43.0,147851,0
162,42:33.0,45184,0
163,42:34.0,45184,0
194,13:54.0,130491,0
216,13:48.0,58551,0
217,15:44.0,145665,0
234,39:42.0,149778,0
250,28:46.0,18788,0
251,30:11.0,37279,0
255,35:34.0,37279,0
256,36:01.0,37279,0
262,00:48.0,142483,0
306,37:46.0,54793,0
311,41:16.0,70439,0
318,47:39.0,141438,0
330,54:12.0,36260,0
331,54:14.0,36260,0
332,55:03.0,36789,0
343,02:40.0,149605,0
348,04:51.0,5893,0
350,04:59.0,2821,0
354,06:36.0,126066,0
363,10:06.0,138897,0
375,16:53.0,140699,0
381,19:18.0,79791,0
383,20:29.0,126066,0
400,26:45.0,60948,0
403,28:33.0,106525,0
432,39:52.0,114072,0
438,41:57.0,150401,0
439,41:59.0,5689,0
442,42:55.0,150401,0
452,47:08.0,67185,0
462,50:10.0,68297,0
494,01:18.0,54211,0
515,09:18.0,43907,0
518,09:39.0,129277,0
520,10:41.0,43907,0
523,12:17.0,67185,0
530,15:00.0,154406,0
535,16:25.0,15928,0
541,17:13.0,66385,0
546,19:18.0,96292,0
561,25:26.0,56141,0
565,26:40.0,142555,0
568,27:25.0,6825,0
598,36:52.0,34380,0
601,37:16.0,2963,0
602,37:19.0,2963,0
614,40:29.0,96292,0
615,40:41.0,137628,0
656,50:01.0,110597,0
658,50:04.0,110597,0
663,50:35.0,43726,0
669,52:56.0,172285,0
690,57:17.0,163106,0
697,00:13.0,39250,1
700,00:40.0,149778,0
710,04:32.0,134292,0
720,07:23.0,101777,0
723,08:11.0,125171,0
724,08:22.0,91163,0
740,12:47.0,163106,0
746,14:17.0,91629,0
751,15:28.0,116349,0
758,17:10.0,129565,0
759,17:16.0,116349,0
762,17:44.0,169889,0
774,22:58.0,135767,0
788,26:15.0,55573,0
799,28:12.0,112515,0
800,28:43.0,94983,0
803,28:56.0,153924,0
805,29:51.0,59385,0
806,29:53.0,169889,0
812,31:26.0,10398,0
819,32:39.0,112515,0
857,38:47.0,126656,0
878,41:25.0,143267,0
886,42:27.0,36316,0
887,42:27.0,149489,0
889,43:05.0,23843,0
907,47:43.0,103567,0
914,48:32.0,145665,0
924,50:05.0,145665,0
929,50:42.0,115560,0
937,53:57.0,28986,0
945,55:00.0,174042,0
975,58:56.0,65925,0
985,00:12.0,152846,0
992,00:27.0,97686,0
994,00:33.0,6270,0
1006,00:59.0,96292,0
1017,01:33.0,28476,0
1019,01:37.0,41638,0
1020,01:41.0,136028,0
1026,02:12.0,9507,0
1041,02:41.0,103567,0
1045,03:01.0,93436,0
1046,03:06.0,49567,0
1054,03:40.0,49567,0
1064,03:53.0,49567,0
1067,04:05.0,49567,0
1089,06:02.0,96292,0
1090,06:10.0,93524,0
1108,07:29.0,65015,0
1110,07:34.0,93524,0
1121,09:29.0,78461,0
1124,10:02.0,175766,0
1131,10:29.0,80477,0
1133,10:44.0,84443,0
1146,12:36.0,84443,0
1165,14:22.0,36855,0
1179,15:58.0,135767,0
1202,19:29.0,158378,0
1212,21:05.0,72401,0
1220,21:52.0,72401,0
1276,29:33.0,104757,0
1278,30:25.0,67398,0
1286,31:50.0,135767,0
1296,34:18.0,29170,0
1302,34:54.0,109133,0
1303,35:00.0,99676,0
1311,36:12.0,104757,0
1312,36:12.0,158211,0
1319,36:59.0,163805,0
1323,37:06.0,99676,0
1328,37:44.0,64629,0
1345,40:41.0,135398,0
1349,41:12.0,83717,0
1355,43:00.0,135398,0
1367,44:48.0,11893,0
1383,48:13.0,75162,0
1395,50:17.0,29432,0
1420,54:57.0,107126,0
1431,56:36.0,104757,0
1434,57:10.0,117384,0
1440,58:30.0,167334,0
1465,01:56.0,12857,0
1473,02:37.0,93106,0
1476,02:57.0,73049,0
1502,07:37.0,154406,0
1505,07:56.0,10141,0
1520,11:26.0,140135,0
1521,11:38.0,159747,0
1528,12:37.0,68297,0
1545,16:04.0,4638,0
1561,18:06.0,171628,0
1567,20:16.0,67974,0
1574,21:25.0,39105,0
1583,22:28.0,135455,0
1584,22:31.0,135455,0
1606,26:22.0,74148,0
1609,26:47.0,169284,0
1636,33:17.0,105845,0
1640,33:45.0,148308,0
1651,35:58.0,67332,0
1701,48:06.0,166559,0
1705,49:13.0,64399,0
1716,50:45.0,96171,0
1719,51:35.0,101998,0
1731,53:07.0,64399,0
1738,54:10.0,64399,0
1742,54:36.0,105845,0
1747,55:49.0,2534,0
1748,55:49.0,64399,0
1754,56:46.0,66405,0
1773,01:02.0,154461,0
1790,05:04.0,13878,0
1805,09:01.0,165409,0
1806,09:03.0,165409,0
1810,09:22.0,132044,0
1811,10:03.0,167853,0
1812,10:05.0,105623,0
1817,11:58.0,11667,0
1828,14:13.0,95031,0
1847,18:43.0,150835,0
1858,21:05.0,173772,0
1861,21:33.0,167837,0
1905,30:29.0,49549,0
1906,30:51.0,146874,0
1910,31:50.0,91125,0
1914,32:18.0,32927,0
1923,34:26.0,81114,0
1929,36:07.0,152223,0
1931,36:20.0,49549,0
1932,36:42.0,62046,0
1940,38:32.0,64399,0
1946,39:28.0,64399,0
1959,41:39.0,110528,0
1972,44:47.0,129358,0
1977,45:38.0,63205,0
1978,45:57.0,38106,0
1990,48:55.0,129379,0
2016,55:22.0,82642,0
2022,56:03.0,29938,0
2041,59:07.0,56422,0
2043,59:26.0,140449,0
2046,00:10.0,106836,0
2061,03:13.0,107273,0
2066,04:54.0,72971,0
2089,11:07.0,158880,0
2094,12:29.0,6825,0
2103,16:12.0,164815,0
2104,16:15.0,55782,0
2109,17:05.0,115230,0
2111,17:08.0,55782,0
2113,17:23.0,71520,0
2114,17:30.0,58677,0
2122,19:13.0,21198,0
2137,23:35.0,160777,0
2145,26:33.0,146413,0
2153,28:54.0,81744,0
2162,29:37.0,17734,0
2163,29:38.0,113760,0
2195,35:10.0,152954,0
2198,35:32.0,57996,0
2238,43:07.0,167454,0
2242,43:39.0,90692,0
2244,44:28.0,127989,0
2254,46:31.0,60096,0
2256,46:33.0,60096,0
2260,48:08.0,32673,0
2268,49:35.0,36808,0
2269,49:38.0,32673,0
2278,51:03.0,128071,0
2290,52:48.0,161126,0
2293,53:55.0,23253,0
2294,54:16.0,65608,0
2295,54:31.0,55101,0
2304,56:53.0,105297,0
2311,58:49.0,64918,0
2312,58:50.0,64918,0
2314,59:29.0,116960,0
2341,05:53.0,84549,0
2364,09:15.0,4862,0
2367,10:13.0,158880,0
2378,11:55.0,35424,0
2385,13:10.0,130919,0
2396,17:09.0,88899,0
2410,19:26.0,146874,0
2446,28:23.0,150659,0
2463,31:47.0,5887,0
2473,33:52.0,13925,0
2479,35:11.0,14798,0
2486,36:43.0,67682,0
2492,37:41.0,61456,0
2499,38:39.0,18780,0
2502,38:55.0,161126,0
2503,39:04.0,146728,0
2520,42:13.0,172666,0
2526,43:47.0,23597,0
2543,49:07.0,32892,0
2557,51:31.0,81020,0
2558,51:53.0,144416,0
2564,53:07.0,150996,0
2578,55:56.0,145584,0
2581,56:13.0,158317,0
2598,59:14.0,175363,0
2599,59:18.0,27599,0
2610,01:57.0,54563,0
2611,02:05.0,47603,0
2616,02:53.0,47603,0
2617,03:18.0,84537,0
2641,08:27.0,107334,0
2658,11:45.0,169991,0
2676,15:43.0,93090,0
2682,16:32.0,144416,0
2683,16:53.0,47603,0
2700,21:44.0,33854,0
2703,22:10.0,36800,0
2708,22:53.0,63226,0
2709,22:57.0,87535,0
2715,24:04.0,33854,0
2721,25:15.0,2821,0
2725,26:15.0,33854,0
2734,28:32.0,112260,0
2741,30:15.0,48887,0
2747,30:41.0,48887,0
2773,37:05.0,40671,0
2776,37:13.0,76692,0
2786,38:11.0,48887,0
2787,38:24.0,48887,0
2795,40:22.0,40570,0
2800,41:25.0,140921,0
